河北经贸大学,河北省,石家庄市,本科
中国人民武装警察部队学院,公安部,廊坊市,本科
中央司法警官学院,司法部,保定市,本科
防灾科技学院,中国地震局,三河市,本科
华北科技学院,国家安全生产监督管理总局,三河市,本科
北华航天工业学院,河北省,廊坊市,本科
河北建筑工程学院,河北省,张家口市,本科
石家庄经济学院,河北省,石家庄市,本科
河北科技学院,河北省教育厅,保定市,本科
承德医学院,河北省,承德市,本科
唐山师范学院,河北省,唐山市,本科
廊坊师范学院,河北省,廊坊市,本科
沧州师范学院,河北省,沧州市,本科
河北民族师范学院,河北省,承德市,本科
邢台学院,河北省,邢台市,本科
河北科技师范学院,河北省,秦皇岛市,本科
河北外国语学院,河北省教育厅,石家庄市,本科
河北金融学院,河北省,保定市,本科
河北体育学院,河北省,石家庄市,本科
河北传媒学院,河北省教育厅,石家庄市,本科
河北美术学院,河北省教育厅,石家庄市,本科
邯郸学院,河北省,邯郸市,本科
衡水学院,河北省,衡水市,本科
石家庄学院,河北省,石家庄市,本科
保定学院,河北省,保定市,本科
唐山学院,河北省,唐山市,本科
河北北方学院,河北省,张家口市,本科
承德石油高等专科学校,河北省,承德市,专科
河北工程技术高等专科学校,河北省,沧州市,专科
石家庄人民医学高等专科学校,河北省教育厅,石家庄市,专科
邢台医学高等专科学校,河北省,邢台市,专科
石家庄医学高等专科学校,河北省教育厅,石家庄市,专科
沧州医学高等专科学校,河北省,沧州市,专科
石家庄幼儿师范高等专科学校,河北省,石家庄市,专科
承德护理职业学院,河北省,承德市,专科
河北化工医药职业技术学院,河北省,石家庄市,专科
邯郸职业技术学院,河北省,邯郸市,专科
张家口职业技术学院,河北省,张家口市,专科
沧州职业技术学院,河北省,沧州市,专科
保定职业技术学院,河北省,保定市,专科
石家庄铁路职业技术学院,河北省,石家庄市,专科
河北能源职业技术学院,河北省,唐山市,专科
石家庄职业技术学院,河北省,石家庄市,专科
邢台职业技术学院,河北省,邢台市,专科
河北工业职业技术学院,河北省,石家庄市,专科
石家庄科技职业学院,河北省教育厅,石家庄市,专科
河北劳动关系职业学院,河北省,石家庄市,专科
唐山职业技术学院,河北省,唐山市,专科
渤海石油职业学院,河北省,沧州市,专科
石家庄科技工程职业学院,河北省,石家庄市,专科
石家庄邮电职业技术学院,河北省,石家庄市,专科
河北司法警官职业学院,河北省,邯郸市,专科
冀中职业学院,河北省,保定市,专科
石家庄工商职业学院,河北省教育厅,石家庄市,专科
石家庄经济职业学院,河北省教育厅,石家庄市,专科
石家庄城市职业学院,河北省教育厅,石家庄市,专科
石家庄工程职业学院,河北省教育厅,石家庄市,专科
河北省艺术职业学院,河北省,石家庄市,专科
河北旅游职业学院,河北省,承德市,专科
河北女子职业技术学院,河北省,石家庄市,专科
廊坊职业技术学院,河北省,廊坊市,专科
保定电力职业技术学院,河北省,保定市,专科
河北机电职业技术学院,河北省,邢台市,专科
石家庄科技信息职业学院,河北省教育厅,石家庄市,专科
河北公安警察职业学院,河北省,石家庄市,专科
石家庄外国语职业学院,河北省教育厅,邯郸市,专科
河北建材职业技术学院,河北省,秦皇岛市,专科
河北政法职业学院,河北省,石家庄市,专科
河北石油职业技术学院,河北省,廊坊市,专科
唐山工业职业技术学院,河北省,唐山市,专科
衡水职业技术学院,河北省,衡水市,专科
秦皇岛职业技术学院,河北省,秦皇岛市,专科
唐山科技职业技术学院,河北省,唐山市,专科
泊头职业学院,河北省,沧州市,专科
河北轨道运输职业技术学院,河北省,石家庄市,专科
宣化科技职业学院,河北省,张家口市,专科
廊坊东方职业技术学院,河北省教育厅,廊坊市,专科
廊坊卫生职业学院,河北省,廊坊市,专科
河北软件职业技术学院,河北省,保定市,专科
石家庄理工职业学院,河北省教育厅,石家庄市,专科
石家庄信息工程职业学院,河北省,石家庄市,专科
河北交通职业技术学院,河北省,石家庄市,专科
石家庄财经职业学院,河北省教育厅,石家庄市,专科
河北外国语职业学院,河北省,秦皇岛市,专科
廊坊燕京职业技术学院,河北省,廊坊市,专科
山西大学,山西省,太原市,本科
太原理工大学,山西省,太原市,本科
中北大学,山西省,太原市,本科
太原科技大学,山西省,太原市,本科
山西农业大学,山西省,太谷县,本科
山西医科大学,山西省,太原市,本科
山西师范大学,山西省,临汾市,本科
山西大同大学,山西省,大同市,本科
山西财经大学,山西省,太原市,本科
太原工业学院,山西省,太原市,本科
山西中医学院,山西省,太原市,本科
长治医学院,山西省,长治市,本科
吕梁学院,山西省,吕梁市,本科
忻州师范学院,山西省,忻州市,本科
太原师范学院,山西省,太原市,本科
运城学院,山西省,运城市,本科
长治学院,山西省,长治市,本科
晋中学院,山西省,晋中市,本科
山西工商学院,山西省教育厅,太原市,本科
太原电力高等专科学校,山西省,太原市,专科
运城幼儿师范高等专科学校,山西省,运城市,专科
晋中师范高等专科学校,山西省,晋中市,专科
阳泉师范高等专科学校,山西省,阳泉市,专科
山西省财政税务专科学校,山西省,太原市,专科
山西警官高等专科学校,山西省,太原市,专科
太原大学,山西省,太原市,专科
山西药科职业学院,山西省,太原市,专科
山西兴华职业学院,山西省教育厅,太原市,专科
山西建筑职业技术学院,山西省,太原市,专科
山西轻工职业技术学院,山西省,太原市,专科
山西工程职业技术学院,山西省,太原市,专科
运城职业技术学院,山西省教育厅,运城市,专科
山西老区职业技术学院,山西省教育厅,太原市,专科
大同煤炭职业技术学院,山西省,大同市,专科
山西交通职业技术学院,山西省,太原市,专科
山西艺术职业学院,山西省,太原市,专科
长治职业技术学院,山西省,长治市,专科
晋城职业技术学院,山西省,晋城市,专科
山西电力职业技术学院,山西省,太原市,专科
山西体育职业学院,山西省,太原市,专科
山西警官职业学院,山西省,太原市,专科
山西国际商务职业学院,山西省,太原市,专科
山西华澳商贸职业学院,山西省教育厅,太原市,专科
山西机电职业技术学院,山西省,长治市,专科
山西戏剧职业学院,山西省,太原市,专科
山西财贸职业技术学院,山西省,太原市,专科
山西林业职业技术学院,山西省,太原市,专科
山西水利职业技术学院,山西省,运城市,专科
阳泉职业技术学院,山西省,阳泉市,专科
晋中职业技术学院,山西省,晋中市,专科
运城护理职业学院,山西省,运城市,专科
忻州职业技术学院,山西省,忻州市,专科
山西金融职业学院,山西省,太原市,专科
临汾职业技术学院,山西省,临汾市,专科
山西职业技术学院,山西省,太原市,专科
太原城市职业技术学院,山西省,太原市,专科
山西运城农业职业技术学院,山西省,运城市,专科
山西青年职业学院,山西省,太原市,专科
山西经贸职业学院,山西省,太原市,专科
山西同文职业技术学院,山西省教育厅,晋中市,专科
山西信息职业技术学院,山西省教育厅,临汾市,专科
山西管理职业学院,山西省,临汾市,专科
山西旅游职业学院,山西省,太原市,专科
潞安职业技术学院,山西省,长治市,专科
太原旅游职业学院,山西省,太原市,专科
朔州职业技术学院,山西省,朔州市,专科
山西煤炭职业技术学院,山西省,太原市,专科
内蒙古大学,内蒙古自治区,呼和浩特市,本科
内蒙古科技大学,内蒙古自治区,包头市,本科
内蒙古民族大学,内蒙古自治区,通辽市,本科
内蒙古工业大学,内蒙古自治区,呼和浩特市,本科
内蒙古农业大学,内蒙古自治区,呼和浩特市,本科
内蒙古医科大学,内蒙古自治区,呼和浩特市,本科
内蒙古师范大学,内蒙古自治区,呼和浩特市,本科
内蒙古财经大学,内蒙古自治区,呼和浩特市,本科
河套学院,内蒙古自治区,临河市,本科
赤峰学院,内蒙古自治区,赤峰市,本科
集宁师范学院,内蒙古自治区,集宁市,本科
呼伦贝尔学院,内蒙古自治区,海拉尔,本科
呼和浩特民族学院,内蒙古自治区,呼和浩特市,本科
乌兰察布医学高等专科学校,内蒙古自治区,乌兰察布市,专科
满洲里俄语职业学院,内蒙古自治区,满洲里市,专科
包头职业技术学院,内蒙古自治区,包头市,专科
内蒙古建筑职业技术学院,内蒙古自治区,呼和浩特市,专科
内蒙古机电职业技术学院,内蒙古自治区,呼和浩特市,专科
乌海职业技术学院,内蒙古自治区,乌海市,专科
呼和浩特职业学院,内蒙古自治区,呼和浩特市,专科
内蒙古交通职业技术学院,内蒙古自治区,赤峰市,专科
阿拉善职业技术学院,内蒙古自治区,阿拉善,专科
赤峰工业职业技术学院,内蒙古自治区,赤峰市,专科
